Property,Descriptions,中文名称,新描述
remainingAmount,0,剩余金额,剩余未付的金额。
capacityOption,The possible Capacities that can be applied to fulfill the capacityDemand,容量选项,可用于满足容量需求的可能容量选项。
extractedResource,0,已提取资源,已提取的资源。
objectInstanceFilter,A filter that can be used in conjunction with the monitored object class for specifying the set of instances that are referenced by a PM query.,对象实例过滤器,可与被监控对象类结合使用的过滤器，用于指定性能度量查询所引用的实例集合。
clearedAlarm,The successfully cleared alarms,已清除告警,已成功清除的告警。
taxItem,0,税项,与实体相关的税项。
runType,0,运行类型,账单的运行类型。
pushedResource,0,已推送资源,已推送的资源。
headers,0,消息头,请求的消息头。
representative,0,代表,组织的代表。
commercialActivity,Flag to indicate if commercial activity applies to these data management.,商业活动,一个布尔值，表明商业活动是否适用于这些数据管理。
privacyManager,0,隐私经理,负责隐私管理的经理。
dataProtectionOfficer,0,数据保护官(DPO),负责数据保护的官员。
localRepresentative,Represents a Party representing the Organization within a geographic localization.,本地代表,在某个地理区域内代表组织的参与方。
configurationAction,A list of allowed actions or a list of selected actions.,配置动作,允许的动作列表或已选择的动作列表。
entityId,Unique identifier of the parent element.,实体ID,父元素的唯一标识符。
isVisible,A flag indicating whether the Product Configuration is visible by API client and presented to the end-user.,是否可见,一个布尔值，表明产品配置是否对API客户端可见并呈现给最终用户。
computedProductConfigurationItem,A list of computed product configuration items (the output).,计算出的配置项,计算（输出）出的产品配置项列表。
lastFourDigits,The last four digits of the credit card.,(卡号)后四位,信用卡的最后四位数字。
cardType,"The type of card e.g. Credit, debit etc.",卡类型,卡的类型，例如“信用卡”、“借记卡”。
queryProductConfigurationItem,ProductConfigurationItem is an arraylist of product configuration items contained in the ProductConfigurationItem.,查询产品配置项,产品配置项中包含的产品配置项数组列表。
queryProductConfiguration,0,查询产品配置,与实体相关的（异步）查询产品配置请求。
provideAlternatives,An indicator which when the value is "true" means that alternative solutions should be provided.,提供备选方案,一个布尔值，为true时表示应提供备选解决方案。
checkProductConfigurationItem,CheckProductConfigurationItem is a list of product configuration items representing the input and the output of the check product configuration API.,检查产品配置项,代表检查产品配置API输入和输出的产品配置项列表。
characteristicValue,0,特征值,特征的具体取值。
configurationCharacteristicValue,A list of configuration characteristic values.,配置特征值,配置特征值的列表。
configurationCharacteristicRelationship,"Relationship to other configuration characteristics, such as dependency (the value that this characteristic can take or may be limited by the value of the related characteristic).",配置特征关系,与其他配置特征的关系，例如依赖关系。
isConfigurable,"A flag indicating whether this configuration characteristic may be configured (i.e. value may be set by the end-user). In case of false value, the characteristic value may not be set by the end-user and is preset by the product configurator.",是否可配置,一个布尔值，表明此配置特征是否可由最终用户配置。
alternateProductConfigurationProposal,A list of alternative product configurations proposed to the requester of the check product configuration operation. The list may be populated in case product configuration was rejected.,备选产品配置建议,在产品配置被拒绝时，向请求者提议的备选产品配置列表。
productConfigurationItem,ProductConfigurationItem is a list of product configuration items contained in the ProductConfigurationItem.,产品配置项,产品配置项中包含的产品配置项列表。
entityHref,Hypertext Reference of the parent element.,实体链接,父元素的超文本引用。
requestProductConfigurationItem,A list of product configuration items provided as input. These items are used to compute computed product configuration items (the output).,请求的配置项,作为输入提供的产品配置项列表，用于计算输出。
configurationCharacteristic,List of characteristics of the product configuration. Each may correspond 1-1 to product/productSpecification characteristics.,配置特征,产品配置的特征列表。
configurationPrice,"List of prices of the product configuration. Prices are computed based on product configuration, selected characteristic values, selected bundled offerings, terms etc.",配置价格,产品配置的价格列表。
configurationTerm,A list of allowed terms or a list of selected terms.,配置条款,允许的条款列表或已选择的条款列表。
hasNetworkInterface,tell if UserEquipment has network interface(s),是否有网络接口,一个布尔值，表明用户设备是否有网络接口。
isWearable,tell if UserEquipment is a wearable device,是否为可穿戴设备,一个布尔值，表明用户设备是否为可穿戴设备。
isPortable,tell if UserEquipment is a portable/movable device,是否为便携设备,一个布尔值，表明用户设备是否为便携/可移动设备。
indicatorName,Indicates the name of indicator which crossed the threshold.,指标名称,穿越阈值的指标的名称。
thresholdCrossingDescription,Indicates further information on the threshold crossing alarm.,越限描述,关于阈值穿越告警的进一步信息。
groupedAlarm,The successfully correlated alarms,已分组告警,已成功关联或分组的告警。
groupAlarm,0,告警分组,与实体相关的告警分组操作。
checkPermission,0,检查权限,与实体相关的检查权限请求。
unAckedAlarm,The successfully unacknowledged alarms,已取消确认告警,已成功取消确认的告警。
submittedGeographicAddress,0,提交的地理地址,提交的地理地址信息。
usageConsumptionReport,0,用量消耗报告,与实体相关的用量消耗报告。
consumptionSummary,0,消耗摘要,用量消耗的摘要信息。
unGroupAlarm,0,告警取消分组,与实体相关的告警取消分组操作。
unGroupedAlarm,The successfully uncorrelated alarms,已取消分组告警,已成功取消关联或分组的告警。
