Schema,Descriptions,中文名称,新描述
IncidentAckStateType,Possible values for the ack state of an Incident,事件确认状态类型,定义了事件（Incident）的确认状态。
Incident,"An Incident is a record of an event that has altered the operational state of a entity (Resource, Service or Customers Product). An incident represents an issue that needs to be diagnosed and resolved.",事件/事故,改变了实体（资源、服务或客户产品）运行状态的事件记录。一个事件代表一个需要被诊断和解决的问题。
DiagnoseIncident,A stage in the incident lifecycle. The purpose of diagnosis is to identify a workaround for an incident (ITIL Service Operation). ,诊断事件,事件（Incident）生命周期中的一个阶段，旨在为事件找到一个临时解决方案。
MetadataCategory,The category resource is used to group metadata catalog items in logical containers. Categories can contain other categories.,元数据分类,用于将元数据目录项分组到逻辑容器中的分类。
MetadataCatalogItemRef,Reference to Metadata Category Item object.,元数据目录项引用,用于简要引用一个元数据目录项。
MetadataCatalogItem,"An MetadataCatalogItem is an entity that allows any metadata asset or even any object inheriting from RootEntity, to be available to a catalog. The MetadataSpecification and Policy of the catalog governs the content of the MetadataCatalogItem. This API addresses only MetadataSpecification items extended from RootEntity as MetadataCatalogItem.",元数据目录项,元数据目录中的一个条目，允许任何元数据资产在目录中可用。
MetadataCatalog,Additional information to describe the catalog,元数据目录,用于描述目录的附加信息。
CompositeMetadataSpecification,A type of MetadataSpecification that belongs to a grouping of MetadataSpecifications. It inherits of all attributes of MetadataSpecification.,组合元数据规约,属于元数据规约分组的一种类型，继承了元数据规约的所有属性。
ResolveIncidentStateChangeEventPayload,The event data structure,解决事件状态变更事件数据,解决事件状态变更事件所携带的具体数据内容。
ResolveIncidentStateChangeEvent,The notification data structure,解决事件状态变更事件,当一个解决事件（ResolveIncident）的状态发生变化时，系统发出的通知事件。
ResolveIncidentCreateEventPayload,The event data structure,解决事件创建事件数据,解决事件创建事件所携带的具体数据内容。
ResolveIncidentCreateEvent,The notification data structure,解决事件创建事件,当一个解决事件（ResolveIncident）被创建时，系统发出的通知事件。
DiagnoseIncidentStateChangeEventPayload,The event data structure,诊断事件状态变更事件数据,诊断事件状态变更事件所携带的具体数据内容。
DiagnoseIncidentStateChangeEvent,The notification data structure,诊断事件状态变更事件,当一个诊断事件（DiagnoseIncident）的状态发生变化时，系统发出的通知事件。
DiagnoseIncidentCreateEventPayload,The event data structure,诊断事件创建事件数据,诊断事件创建事件所携带的具体数据内容。
DiagnoseIncidentCreateEvent,The notification data structure,诊断事件创建事件,当一个诊断事件（DiagnoseIncident）被创建时，系统发出的通知事件。
IncidentStateChangeEventPayload,The event data structure,事件状态变更事件数据,事件（Incident）状态变更事件所携带的具体数据内容。
IncidentStateChangeEvent,The notification data structure,事件状态变更事件,当一个事件（Incident）的状态发生变化时，系统发出的通知事件。
IncidentCreateEventPayload,The event data structure,事件创建事件数据,事件（Incident）创建事件所携带的具体数据内容。
MetadataCategoryAttributeValueChangeEvent,The notification data structure,元数据分类属性值变更事件,当一个元数据分类的属性值发生变化时，系统发出的通知事件。
MetadataCategoryCreateEventPayload,The event data structure,元数据分类创建事件数据,元数据分类创建事件所携带的具体数据内容。
MetadataCategoryCreateEvent,The notification data structure,元数据分类创建事件,当一个元数据分类被创建时，系统发出的通知事件。
MetadataCatalogDeleteEventPayload,The event data structure,元数据目录删除事件数据,元数据目录删除事件所携带的具体数据内容。
MetadataCatalogDeleteEvent,The notification data structure,元数据目录删除事件,当一个元数据目录被删除时，系统发出的通知事件。
MetadataCatalogStatusChangeEventPayload,The event data structure,元数据目录状态变更事件数据,元数据目录状态变更事件所携带的具体数据内容。
MetadataCatalogStatusChangeEvent,The notification data structure,元数据目录状态变更事件,当一个元数据目录的状态发生变化时，系统发出的通知事件。
MetadataCatalogAttributeValueChangeEventPayload,The event data structure,元数据目录属性值变更事件数据,元数据目录属性值变更事件所携带的具体数据内容。
MetadataCatalogAttributeValueChangeEvent,The notification data structure,元数据目录属性值变更事件,当一个元数据目录的属性值发生变化时，系统发出的通知事件。
MetadataCatalogCreateEventPayload,The event data structure,元数据目录创建事件数据,元数据目录创建事件所携带的具体数据内容。
MetadataCatalogCreateEvent,The notification data structure,元数据目录创建事件,当一个元数据目录被创建时，系统发出的通知事件。
PolicySpecificationRef,reference to an PolicySpecification object,策略规约引用,用于简要引用一个策略规约（模板）。
MetadataSpecificationRef,reference to an MetadataSpecification object,元数据规约引用,用于简要引用一个元数据规约（模板）。
